dist,agg.method,index,clust.num.true,clust.num.pred
euclidean,ward.D,all,4,-1
maximum,ward.D,all,4,-1
manhattan,ward.D,all,4,-1
canberra,ward.D,all,4,-1
minkowski,ward.D,all,4,-1
euclidean,ward,all,4,4
maximum,ward,all,4,4
manhattan,ward,all,4,4
canberra,ward,all,4,2
minkowski,ward,all,4,4
canberra,single,all,4,-1
euclidean,complete,all,4,2
maximum,complete,all,4,2
manhattan,complete,all,4,4
minkowski,complete,all,4,2
euclidean,average,all,4,4
maximum,average,all,4,4
manhattan,average,all,4,4
minkowski,average,all,4,4
euclidean,mcquitty,all,4,2
maximum,mcquitty,all,4,2
manhattan,mcquitty,all,4,2
minkowski,mcquitty,all,4,2
euclidean,centroid,all,4,3
maximum,centroid,all,4,4
manhattan,centroid,all,4,4
minkowski,centroid,all,4,3
euclidean,kmeans,all,4,2
maximum,kmeans,all,4,2
manhattan,kmeans,all,4,2
canberra,kmeans,all,4,2
minkowski,kmeans,all,4,2
euclidean,ward.D,alllong,4,-1
maximum,ward.D,alllong,4,-1
manhattan,ward.D,alllong,4,-1
canberra,ward.D,alllong,4,-1
minkowski,ward.D,alllong,4,-1
euclidean,ward,alllong,4,4
maximum,ward,alllong,4,4
manhattan,ward,alllong,4,4
canberra,ward,alllong,4,2
minkowski,ward,alllong,4,4
canberra,single,alllong,4,-1
euclidean,complete,alllong,4,2
maximum,complete,alllong,4,2
manhattan,complete,alllong,4,4
minkowski,complete,alllong,4,2
euclidean,average,alllong,4,4
manhattan,average,alllong,4,4
minkowski,average,alllong,4,4
euclidean,mcquitty,alllong,4,2
maximum,mcquitty,alllong,4,3
manhattan,mcquitty,alllong,4,2
minkowski,mcquitty,alllong,4,2
euclidean,centroid,alllong,4,3
maximum,centroid,alllong,4,4
manhattan,centroid,alllong,4,4
minkowski,centroid,alllong,4,3
euclidean,kmeans,alllong,4,2
maximum,kmeans,alllong,4,2
manhattan,kmeans,alllong,4,2
canberra,kmeans,alllong,4,2
minkowski,kmeans,alllong,4,2
